1;David Benioff;Game of Thrones;2011;6;R;7;67
1;Brad Wright;Stargate;1997;9;PG_13;10;214
1;Seth MacFarlane;Family Guy;1998;1;PG_13;17;326
2;Frank Darabont;The Shawshank Redemption;1994;4;R;142;9.3
2;Peter Jackson;The Lord of the Rings: The Fellowship of the Ring;2001;6;PG_13;178;8.8
2;Peter Jackson;The Lord of the Rings: The Two Towers;2002;6;PG_13;179;8.7
2;Peter Jackson;The Lord of the Rings: The Return of the King;2003;6;PG_13;201;8.9
3;Sabaton;Night Witches;2014;9;PG;193;19338771
3;Green Day;American Idiot;2012;9;PG_13;182;135261212
